spacer1	spacer2	serotype	percent
Abo1	AboB9	Abortusequi	100%
Abon6	AbonB7	Abony	100%
Abov1	AboB1	Abortusovis	100%
Abov14	AbovB1	Abortusovis	100%
Abov6	CubB6	Cubana	100%
Aes6	AesB3	Aesch	100%
Ago10	AgoB8	Agona	100%
Ago12	AgoB5	Agona	100%
Ago13	AgoB3	Agona	100%
Ago13	AgoB6	Agona	100%
Ago13	AgoB7	Agona	100%
Ago13	AgoB8	Agona	98%
Ago13	AgoB8	Borreze	1%
Ago13	AgoB8	Paratyphi	1%
Ago17	AgoB14	Agona	100%
Ago2	AgoB3	Agona	100%
Ago4	AgoB7	Agona	100%
Ago5	AgoB8	Agona	100%
Ago6	AgoB8	Agona	100%
Ago7	AgoB8	Agona	100%
Ago8	AgoB8	Agona	100%
Alb3	DueB3	Duesseldorf	100%
Alt35	AltB35	Altona	100%
Ama22	AmaB6	Amager	100%
Ana1	StpB13	Kunduchi	100%
Ana2	AnaB14	Anatum	100%
Ana7	AnaB14	Anatum	100%
Ana8	AnaB13	Anatum	100%
Ana8	AnaB14	Anatum	90%
Ana8	AnaB14	Kentucky	10%
Ana8	VirB7	Anatum	100%
Bar13	NewpB12	Bareilly	100%
Bar13	NewpB17	Bareilly	100%
Bar16	STMB11	Bareilly	100%
Ber2	BerB1	Berta	100%
Bis14	BisB4	Bispebjerg	100%
Biss23	BissB6	Bissau	100%
Blo10	BloB9	Blockley	100%
Blo10	KenB42	Blockley	100%
Blo11	BloB9	Blockley	100%
Bovis13	BovB11	Bovismorbificans	100%
Bovis14	BovB11	Bovismorbificans	100%
Bovis14	BovB13	Bovismorbificans	100%
Bra9	BraB1	Braenderup	100%
Bra9	BraB6	Braenderup	100%
Bra9	BraB9	Braenderup	60%
Bra9	BraB9	Cerro	20%
Bra9	BraB9	Choleraesuis	20%
Bra9	BraB14	Braenderup	100%
BraB14	STMB35	Typhimurium	100%
Can7	CanB18	Canada	100%
Chol14	CholB15	Choleraesuis new variant	100%
Chol3	CholB4	Choleraesuis sensu stricto	100%
Chol3	CholB6	Choleraesuis var. Kunzendorf 	100%
Chol3	TysB1	Paratyphi C	75%
Chol3	TysB1	Typhisuis	25%
Chol30	CholB65	Choleraesuis var. Decatur	100%
Chol38	CholB14	Choleraesuis var. Decatur	100%
Chol5	CholB30	Choleraesuis var. Decatur	100%
CholB42var1	CholB48	Choleraesuis var. Decatur	100%
Conc14	ConcB18	Concord	100%
Conc14	ConcB7	Concord	100%
ConcB4var1	MonB63	Johanesburg	50%
ConcB4var1	MonB63	Urbana	50%
Der21	DerB10var1	Derby	100%
Der21	DerB12	Derby	100%
Der21	DerB9	Derby	100%
